,company,description,exp,loc,salary,skills
0, Larsen & Toubro Infotech Limited  ,-Extracting business requirement and proposing suitable technical solution from ETL side;-Strong Data ...,4,"Mumbai, Bengaluru, Chennai, Pune",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
1, Citicorp Services India Pvt Ltd  3.7(80 reviews)   ,"This resource must have experience in enterprise-wide technology solution design, development, ...",12,Pune,,"['AML, AbInitio, Oracle PL / SQL, UNIX, Linux, Bash, Korn Shell Scripting...']"
2, Accenture  4.0(4985 reviews)   ,,1,Hyderabad,,"['Ab Initio, Business process, Outsourcing, Operations, Manager Technology']"
3, Accenture  4.0(4985 reviews)   ,,1,Chennai,,"['SQL, Oracle, Unix, Db2, Datastage, Ab Initio, Macros, Business process...']"
4, Accenture  4.0(4985 reviews)   ,,1,Hyderabad,,"['Application support, Ab Initio, Unix shell scripting, Business process...']"
5, Accenture  4.0(4985 reviews)   ,,1,Hyderabad,,"['Application support, Ab Initio, Unix shell scripting, Business process...']"
6, Capgemini Technology Services India Limited  ,"Should have 2+ years of exp as AB Initio development;Develop data lineage using Metadata Hub, knowledge ...",2,Pune,,"['ab initio, abinitio developer, abinitio programmer, ab - initio programmer,...']"
7, CBSI India Pvt. Ltd.  3.7(22 reviews)   ,Notice period Preferred Immediate to 15 days only;Total experience:;Relevant Experience: ...,3,Bengaluru,,['abinitio']
8, Optimum InfoSystem Pvt. Ltd.  ,At least 4-7 years software development experience required in large Data Warehouse environment;At least ...,4,Hyderabad,,"['Unix Shell Scripting, ETL Tool, Ab Initio, Teradata, Data Warehousing...']"
9, Optimum InfoSystem Pvt. Ltd.  ,Please find the job description details mentioned below for your reference:   Skill: Abinitio ...,4,"Mumbai, Bengaluru",,"['SQL, Ab Initio, Oracle Database']"
10, Maintec Technologies Private Limited  ,Development experience of working hands on in Abinitio and having good knowledge on advanced Ab Initio ...,3,"Bengaluru, Pune",,"['ab initio, abinitio developer, abinitio consultant']"
11, Maintec Technologies Private Limited  ,Development experience of working hands on in Abinitio and having good knowledge on advanced Ab Initio ...,3,"Bengaluru, Pune",,"['ab initio, abinitio developer, abinitio consultant']"
12, RANDSTAD INDIA PVT LTD  3.9(306 reviews)   ,"Need to assist in multiple projects , and provide them some guidance and overview wherein required for ...",3,Chandigarh,,"['technical documentation, performance tuning, ab initio...']"
13, ILABZ TECHNOLOGY LLP  ,Pay slips{Please Share atleast any one month payslip for current and previus organizations}:;Experience:3 ...,4,Bengaluru,,"['ab initio, Abinitio Developer']"
14, Larsen & Toubro Infotech Limited  ,-Extracting business requirement and proposing suitable technical solution from ETL side;-Strong Data ...,4,"Mumbai, Bengaluru, Chennai, Pune",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
15, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,2,Gurgaon,,"['PLSQL, Ab Initio, Application development, Agile, Unix shell scripting...']"
16, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,4,Bengaluru,,"['Teradata, Ab Initio, Business process, Outsourcing, Operations...']"
17, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,4,Mumbai,,"['Teradata, Ab Initio, Business process, Outsourcing, Operations...']"
18, Maveric Systems Limited  3.7(46 reviews)   ,"-	Experience in Design and implementation of complex ETL processes;-	Good Understanding of traditional ...",3,"Bengaluru, Chennai",,"['Unix, Oracle, SQL Server, Teradata, Informatica, ETL, Ab Initio, Edw, Shell...']"
19, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,2,Mumbai,,"['Ab Initio, Business process, Outsourcing, Operations, Data warehousing...']"
20, Syntel Private Limited  ,Should be able to Setup monitoring/alerts for jobs/processes; troubleshoot identifying existing code ...,3,Pune,,"['Data Warehousing, Ab Initio, Performance Tuning, Design Patterns...']"
21, JP Morgan Chase  4.1(564 reviews)   ,In this role you will have dual accountability to both business and technology management for end-to-end ...,0,"Bengaluru, Bangalore East",,"['technology, finance, operations, human resources']"
22, Larsen & Toubro Infotech Limited  ,Extracting business requirement and proposing suitable technical solution from ETL side;Strong Data ...,3,"Bengaluru, Chennai",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
23, Accenture  4.0(4985 reviews)   ,Job Requirements :  Roles and Responsibilities1At a lead level should have managed at least a team of 5 ...,6,Hyderabad,,"['Unix, Application support, Ab Initio, Business process, Outsourcing...']"
24, eNFLUENCE IT Services Pvt. Ltd.  ,Hands-on experience in designing and implementing data integration solutions for data warehouse and ...,5,Pune,1300000,"['Ab Initio, haoop, Metadata, eme, gde, SQL, unix shell, autosys, Tivoli...']"
25, Savera IT Solutions P Ltd.  ,Should have good Unix/Linux working experience; basic commands  & perl/shell scripting skills ...,6,Hyderabad,,"['Unix, ETL, Shell Scripting, Linux, Ab Initio, Data Warehousing...']"
26, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,3,Gurgaon,,"['PLSQL, Ab Initio, Performance testing, Unix shell scripting, Unit testing...']"
27, Accenture  4.0(4985 reviews)   ,10 Should work in shifts A/B/C as its a 24x7 support project;2 Minimum of a three years working in L2L3 ...,7,Bengaluru,,"['Unix, Application support, Ab Initio, Business process, Outsourcing...']"
28, Larsen & Toubro Infotech Limited  ,-Extracting business requirement and proposing suitable technical solution from ETL side;-Strong Data ...,3,"Mumbai, Pune",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
29, Resource Solutions India Pvt Ltd  ,"o	Experience in IT industry;o	Graduate in Engineering (BE/B-TEC);o	Proficient in Abinitio ETL Tool;o ...",5,Pune,1800000,"['Unix Shell Scripting, Oracle, Big Data, Linux, Ab Initio, ETL Tool, Hadoop,...']"
30, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,Delhi NCR,1200000,"['ab initio, Abinitio Developer, abinitio programmer, abinitio, ab - initio']"
31, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,Delhi NCR,1200000,"['ab initio, abinitio developer, abinitio programmer, abinitio']"
32, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,Delhi NCR,1200000,"['ab initio, abinitio developer, ab initio programmer, ab initio developer']"
33, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,2,Gurgaon,1500000,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
34, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,5,Gurgaon,,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
35, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,2,Hyderabad,,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
36, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,2,Gurgaon,1500000,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
37, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,"Delhi NCR, Hyderabad",1200000,"['unix shell scripting, ab initio, data warehousing, etl tool...']"
38, ASAP Info Systems Pvt Ltd  ,"Dear Candidate, Greetings from Team lease Digital ( Formerly Know as ASAP) We have an urgent ...",3,Pune,,"['Ab Initio, Third Party']"
39, ASAP Info Systems Pvt Ltd  ,We are looking for only immediate and 10 days;Total Experience:;Relevant Experience:;Required Time to ...,3,"Bengaluru, Hyderabad",,['Ab Initio']
40, ASAP Info Systems Pvt Ltd  ,Only immediate joiners / 7-10 Days / not working candidates are preferred;Experience:  3 - 7 yrs;Total ...,2,"Delhi NCR, Bengaluru, Hyderabad",,"['Ab Initio, abnitio, Abinitio Developer, ETL, ETL Tool, informatica tool...']"
41, Nisum Consulting Pvt. Ltd  ,"8+ years of application development experience using skills in Teradata, UNIX Shell Scripting, Data ...",8,Pune,,"['SQL Queries, Unix Shell Scripting, Teradata, ETL Tool, Data Integration...']"
42, Ecentric Solutions Pvt. Ltd.  ,,3,Chennai,550000,"['Unix, Ab Initio, ETL']"
43, TheTalentKart  ,"Proficient in creating documentation related to Project Architecture, Project end User Manual and ...",6,"Mumbai, Chennai, Bengaluru, Pune",,"['unix shell scripting, oracle, data warehousing, plsql, data modeling...']"
44, Client of TheTalentKart  ,- Extracting business requirement and proposing suitable technical solution from ETL side;- Strong Data ...,5,"Bengaluru, Chennai, Pune, Mumbai",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
45, Allstate Solutions Private Limited  4.0(80 reviews)   ,"Should be able to evaluate technical designs and data mapping documents, in partnership with onshore ...",7,Bengaluru,,"['Unix, Team Leading Skills, Oracle Database, ETL, Ab Initio...']"
46, Premium  ,- 6+ years experience in a similar position with extensive mobile development responsibilities;- Very ...,5,"Delhi NCR, Noida",,"['Java, Android SDK, Mobile Development, GIT, Bug Tracking...']"
47, Premium  ,- Experience analyzing customer behavior data in a web-based environment or operations-based data ...,5,"Mumbai, Chennai",,"['Unix, SQL, Ab Initio, Data Warehousing, Teradata, ETL, Data Profiling, Data...']"
48, Accenture  4.0(4985 reviews)   ,4 Resource should know the Incident Problem lifecycle in a production support project;2 Minimum of a ...,8,Hyderabad,,"['Unix, Production support, Application support, Ab Initio, Outsourcing...']"
49, Softtech Career Infosystem Pvt. Ltd  ,"- Candidate must have five+ (5+) years of recent hands-on experience with Ab Initio ETL tool, SQL, UNIX ...",4,"Delhi NCR, Bengaluru, Chennai, Noida",,"['SQL, Unix Shell Scripting, DW, ETL, Data Warehousing, Ab Initio...']"
50, Larsen & Toubro Infotech Limited  ,-Extracting business requirement and proposing suitable technical solution from ETL side;-Strong Data ...,4,"Mumbai, Bengaluru, Chennai, Pune",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
51, Citicorp Services India Pvt Ltd  3.7(80 reviews)   ,"This resource must have experience in enterprise-wide technology solution design, development, ...",12,Pune,,"['AML, AbInitio, Oracle PL / SQL, UNIX, Linux, Bash, Korn Shell Scripting...']"
52, Accenture  4.0(4985 reviews)   ,,1,Hyderabad,,"['Ab Initio, Business process, Outsourcing, Operations, Manager Technology']"
53, Accenture  4.0(4985 reviews)   ,,1,Chennai,,"['SQL, Oracle, Unix, Db2, Datastage, Ab Initio, Macros, Business process...']"
54, Accenture  4.0(4985 reviews)   ,,1,Hyderabad,,"['Application support, Ab Initio, Unix shell scripting, Business process...']"
55, Accenture  4.0(4985 reviews)   ,,1,Hyderabad,,"['Application support, Ab Initio, Unix shell scripting, Business process...']"
56, Capgemini Technology Services India Limited  ,"Should have 2+ years of exp as AB Initio development;Develop data lineage using Metadata Hub, knowledge ...",2,Pune,,"['ab initio, abinitio developer, abinitio programmer, ab - initio programmer,...']"
57, CBSI India Pvt. Ltd.  3.7(22 reviews)   ,Notice period Preferred Immediate to 15 days only;Total experience:;Relevant Experience: ...,3,Bengaluru,,['abinitio']
58, Optimum InfoSystem Pvt. Ltd.  ,At least 4-7 years software development experience required in large Data Warehouse environment;At least ...,4,Hyderabad,,"['Unix Shell Scripting, ETL Tool, Ab Initio, Teradata, Data Warehousing...']"
59, Optimum InfoSystem Pvt. Ltd.  ,Please find the job description details mentioned below for your reference:   Skill: Abinitio ...,4,"Mumbai, Bengaluru",,"['SQL, Ab Initio, Oracle Database']"
60, Maintec Technologies Private Limited  ,Development experience of working hands on in Abinitio and having good knowledge on advanced Ab Initio ...,3,"Bengaluru, Pune",,"['ab initio, abinitio developer, abinitio consultant']"
61, Maintec Technologies Private Limited  ,Development experience of working hands on in Abinitio and having good knowledge on advanced Ab Initio ...,3,"Bengaluru, Pune",,"['ab initio, abinitio developer, abinitio consultant']"
62, RANDSTAD INDIA PVT LTD  3.9(306 reviews)   ,"Need to assist in multiple projects , and provide them some guidance and overview wherein required for ...",3,Chandigarh,,"['technical documentation, performance tuning, ab initio...']"
63, ILABZ TECHNOLOGY LLP  ,Pay slips{Please Share atleast any one month payslip for current and previus organizations}:;Experience:3 ...,4,Bengaluru,,"['ab initio, Abinitio Developer']"
64, Larsen & Toubro Infotech Limited  ,-Extracting business requirement and proposing suitable technical solution from ETL side;-Strong Data ...,4,"Mumbai, Bengaluru, Chennai, Pune",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
65, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,2,Gurgaon,,"['PLSQL, Ab Initio, Application development, Agile, Unix shell scripting...']"
66, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,4,Bengaluru,,"['Teradata, Ab Initio, Business process, Outsourcing, Operations...']"
67, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,4,Mumbai,,"['Teradata, Ab Initio, Business process, Outsourcing, Operations...']"
68, Maveric Systems Limited  3.7(46 reviews)   ,"-	Experience in Design and implementation of complex ETL processes;-	Good Understanding of traditional ...",3,"Bengaluru, Chennai",,"['Unix, Oracle, SQL Server, Teradata, Informatica, ETL, Ab Initio, Edw, Shell...']"
69, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,2,Mumbai,,"['Ab Initio, Business process, Outsourcing, Operations, Data warehousing...']"
70, Syntel Private Limited  ,Should be able to Setup monitoring/alerts for jobs/processes; troubleshoot identifying existing code ...,3,Pune,,"['Data Warehousing, Ab Initio, Performance Tuning, Design Patterns...']"
71, JP Morgan Chase  4.1(564 reviews)   ,In this role you will have dual accountability to both business and technology management for end-to-end ...,0,"Bengaluru, Bangalore East",,"['technology, finance, operations, human resources']"
72, Larsen & Toubro Infotech Limited  ,Extracting business requirement and proposing suitable technical solution from ETL side;Strong Data ...,3,"Bengaluru, Chennai",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
73, Accenture  4.0(4985 reviews)   ,Job Requirements :  Roles and Responsibilities1At a lead level should have managed at least a team of 5 ...,6,Hyderabad,,"['Unix, Application support, Ab Initio, Business process, Outsourcing...']"
74, eNFLUENCE IT Services Pvt. Ltd.  ,Hands-on experience in designing and implementing data integration solutions for data warehouse and ...,5,Pune,1300000,"['Ab Initio, haoop, Metadata, eme, gde, SQL, unix shell, autosys, Tivoli...']"
75, Savera IT Solutions P Ltd.  ,Should have good Unix/Linux working experience; basic commands  & perl/shell scripting skills ...,6,Hyderabad,,"['Unix, ETL, Shell Scripting, Linux, Ab Initio, Data Warehousing...']"
76, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,3,Gurgaon,,"['PLSQL, Ab Initio, Performance testing, Unix shell scripting, Unit testing...']"
77, Accenture  4.0(4985 reviews)   ,10 Should work in shifts A/B/C as its a 24x7 support project;2 Minimum of a three years working in L2L3 ...,7,Bengaluru,,"['Unix, Application support, Ab Initio, Business process, Outsourcing...']"
78, Larsen & Toubro Infotech Limited  ,-Extracting business requirement and proposing suitable technical solution from ETL side;-Strong Data ...,3,"Mumbai, Pune",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
79, Resource Solutions India Pvt Ltd  ,"o	Experience in IT industry;o	Graduate in Engineering (BE/B-TEC);o	Proficient in Abinitio ETL Tool;o ...",5,Pune,1800000,"['Unix Shell Scripting, Oracle, Big Data, Linux, Ab Initio, ETL Tool, Hadoop,...']"
80, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,Delhi NCR,1200000,"['ab initio, Abinitio Developer, abinitio programmer, abinitio, ab - initio']"
81, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,Delhi NCR,1200000,"['ab initio, abinitio developer, abinitio programmer, abinitio']"
82, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,Delhi NCR,1200000,"['ab initio, abinitio developer, ab initio programmer, ab initio developer']"
83, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,2,Gurgaon,1500000,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
84, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,5,Gurgaon,,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
85, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,2,Hyderabad,,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
86, Evoke HR Solutions Pvt. Ltd.  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,2,Gurgaon,1500000,"['Oracle SQL, Unix Shell Scripting, Ab Initio, Data Warehousing, ETL Tool...']"
87, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,"Delhi NCR, Hyderabad",1200000,"['unix shell scripting, ab initio, data warehousing, etl tool...']"
88, ASAP Info Systems Pvt Ltd  ,"Dear Candidate, Greetings from Team lease Digital ( Formerly Know as ASAP) We have an urgent ...",3,Pune,,"['Ab Initio, Third Party']"
89, ASAP Info Systems Pvt Ltd  ,We are looking for only immediate and 10 days;Total Experience:;Relevant Experience:;Required Time to ...,3,"Bengaluru, Hyderabad",,['Ab Initio']
90, ASAP Info Systems Pvt Ltd  ,Only immediate joiners / 7-10 Days / not working candidates are preferred;Experience:  3 - 7 yrs;Total ...,2,"Delhi NCR, Bengaluru, Hyderabad",,"['Ab Initio, abnitio, Abinitio Developer, ETL, ETL Tool, informatica tool...']"
91, Nisum Consulting Pvt. Ltd  ,"8+ years of application development experience using skills in Teradata, UNIX Shell Scripting, Data ...",8,Pune,,"['SQL Queries, Unix Shell Scripting, Teradata, ETL Tool, Data Integration...']"
92, Ecentric Solutions Pvt. Ltd.  ,,3,Chennai,550000,"['Unix, Ab Initio, ETL']"
93, TheTalentKart  ,"Proficient in creating documentation related to Project Architecture, Project end User Manual and ...",6,"Mumbai, Chennai, Bengaluru, Pune",,"['unix shell scripting, oracle, data warehousing, plsql, data modeling...']"
94, Client of TheTalentKart  ,- Extracting business requirement and proposing suitable technical solution from ETL side;- Strong Data ...,5,"Bengaluru, Chennai, Pune, Mumbai",,"['SQL, Unix Shell Scripting, Data Warehousing, ETL, AutoSys, Ab Initio...']"
95, Allstate Solutions Private Limited  4.0(80 reviews)   ,"Should be able to evaluate technical designs and data mapping documents, in partnership with onshore ...",7,Bengaluru,,"['Unix, Team Leading Skills, Oracle Database, ETL, Ab Initio...']"
96, Premium  ,- 6+ years experience in a similar position with extensive mobile development responsibilities;- Very ...,5,"Delhi NCR, Noida",,"['Java, Android SDK, Mobile Development, GIT, Bug Tracking...']"
97, Premium  ,- Experience analyzing customer behavior data in a web-based environment or operations-based data ...,5,"Mumbai, Chennai",,"['Unix, SQL, Ab Initio, Data Warehousing, Teradata, ETL, Data Profiling, Data...']"
98, Accenture  4.0(4985 reviews)   ,4 Resource should know the Incident Problem lifecycle in a production support project;2 Minimum of a ...,8,Hyderabad,,"['Unix, Production support, Application support, Ab Initio, Outsourcing...']"
99, Softtech Career Infosystem Pvt. Ltd  ,"- Candidate must have five+ (5+) years of recent hands-on experience with Ab Initio ETL tool, SQL, UNIX ...",4,"Delhi NCR, Bengaluru, Chennai, Noida",,"['SQL, Unix Shell Scripting, DW, ETL, Data Warehousing, Ab Initio...']"
100, Premium  ,"- Candidate must have five+ (5+) years of recent hands-on experience with Ab Initio ETL tool, SQL, UNIX ...",4,"Delhi NCR, Bengaluru, Chennai, Noida",,"['Abinitio Developer, BI / DW, Abinitio, ETL, Data Store, Data Warehouse...']"
101, JP Morgan Chase  4.1(564 reviews)   ,"This role requires a wide variety of strengths and capabilities, including:  Advanced knowledge of ...",0,"Mumbai, Mumbai",,"['technology, finance, operations, human resources']"
102, Citibank  N.A  4.2(154 reviews)   ,Functional experience in the liquidity risk domain of 5 - 7 years;Overall experience required for the ...,5,Pune,,"['Ab Initio, Debugging, Test cases, Data analysis, Monitoring, Front end...']"
103, Citibank  N.A  4.2(154 reviews)   ,Experience in preparing meeting decks and driving presentations;Experience in preparing meeting decks ...,10,Pune,,"['Ab Initio, Data analysis, Monitoring, Front end, Loans, business rules...']"
104, Virtusa Consulting Services Pvt Ltd  ,,4,Chennai,,"['Ab Initio, Generic Graphs, Continuous Flows Graphs, Metadata, Abinitio']"
105, Virtusa Consulting Services Pvt Ltd  ,,4,"Hyderabad, Pune",,"['Ab Initio, Generic Graphs, Continuous Flows Graphs, Metadata, Abinitio']"
106, Maveric Systems Limited  3.7(46 reviews)   ," *	Experience in testing ...",7,Bengaluru,,"['"" ; ETL Testing"" ;', ' Unix, Ab Initio, informatica, datastage...']"
107, Cognizant Technology Solutions India Ltd  3.8(5260 reviews)   ,Candidate having hands on experience in Abinito ...,6,Hyderabad,,"['Abinitio Professional, Abinitio, Abinito Development']"
108, Syntel Private Limited  ,,11,Pune,,"['Abinitio, Architect']"
